,,,,,,,,,,,
CANALES DE CAPTACIÓN DIGITAL (Google & Meta) (del clic al lead),,,,,,,FUNNEL VENTAS (CRM - ACTIVE CAMPAIGN) (del lead a la venta),,,,
Rendimiento de Campañas,,,,,,,No Informado,En proceso de información,Admitido. En proceso de decisión de compra,Captado,
NOMBRES CAMPAÑA,FUENTE,CPC,Nº LEADS,CLICS,CPL,COSTE,NO MQL,MQL,SQL,VENTAS,CPA
ES - PRO - WEB ONLINE - LANDING nuevo,META,"1,5€",91,584,"9,92€","903,00€",5,1,1,1,"903,00€"
DATA META,META,"1,6€",40,479,"18,75€","750,00€",12,5,5,1,"750,00€"
WEB_Remarketing,GOOGLE ADS,"0,6€",34,409,7€,244€,,,,,
WEB_FP,GOOGLE ADS,,0,0,,0€,,,,,
WEB_Curso_EXACTA,GOOGLE ADS,"4,0€",1,52,209€,209€,,,,,
WEB_Curso,GOOGLE ADS,"1,0€","144,17",448,3€,439€,8,1,,,
WEB_Competencia,GOOGLE ADS,"0,7€","60,08",825,10€,615€,8,,,,
WEB_Centros formativos_EXACTA,GOOGLE ADS,,0,0,,0€,,,,,
WEB_Centros formativos,GOOGLE ADS,"1,2€","85,33",292,4€,353€,3,1,,,
WEB_Bootcamp_EXACTA,GOOGLE ADS,"9,8€",1,44,431€,431€,,,,,
WEB_Bootcamp,GOOGLE ADS,"1,6€",64,474,12€,753€,5,2,1,,
WEB_Aprender/Estudiar,GOOGLE ADS,"0,7€",7,220,22€,152€,6,2,,,
Video,GOOGLE ADS,"0,5€","22,92",713,17€,392€,1,,,,
Performance Max,GOOGLE ADS,"0,5€",37,321,4€,154€,4,,,,
Marca,GOOGLE ADS,"1,6€",55,194,5€,301€,1,1,1,1,301€
DATA_Remarketing,GOOGLE ADS,"1,0€",0,84,,81€,,,,,
DATA_Master_EXACTA,GOOGLE ADS,"22,5€",1,16,360€,360€,,,,,
DATA_Master,GOOGLE ADS,"2,6€",7,218,80€,560€,1,,,,
DATA_Curso_EXACTA,GOOGLE ADS,"5,7€",5,63,71€,357€,,,,,
DATA_Curso,GOOGLE ADS,"2,6€","61,53",372,16€,975€,13,1,,,
DATA_Competencia,GOOGLE ADS,"15,0€",0,17,,255€,,,,,
DATA_Centros Formativos_EXACTA,GOOGLE ADS,,0,0,,0€,,,,,
DATA_Centros Formativos,GOOGLE ADS,"1,4€",8,259,46€,364€,1,,,,
DATA_Bootcamp_EXACTA,GOOGLE ADS,"4,4€",2,82,179€,358€,,,,,
DATA_Bootcamp,GOOGLE ADS,"2,8€","39,47",361,26€,1.019€,6,1,1,1,1.019€
DATA_Aprender/Estudiar_EXACTA,GOOGLE ADS,,0,0,,0€,,,,,
DATA_Aprender/Estudiar,GOOGLE ADS,"0,8€",14,668,40€,558€,2,,,,